Algorithm,Params,EvaluationMethod,TP,FP,FN,Precision,Recall,F1-Score,GT_Relevant,Predicted_Boxes,Timestamp,Seed,TotalSimTime,NumInitialObstacles,AgentSpeed,LiDAR_Range,PaddingCells,ClusteringTime_sec,LiDAR_Noise_Enabled,LiDAR_Noise_Level
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,9,4,40,0.692,0.184,0.29,49,13,2025-05-22 17:46:23,7,20.0,60,20,30,1,0.0043,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,12,2,37,0.857,0.245,0.381,49,14,2025-05-22 17:46:23,7,20.0,60,20,30,1,0.0168,True,0.05
KMEANS,"{'n_clusters': 49, 'random_state': 7, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,16,10,33,0.615,0.327,0.427,49,26,2025-05-22 17:46:23,7,20.0,60,20,30,1,0.0113,True,0.05
GMM,"{'n_components': 49, 'covariance_type': 'full', 'random_state': 7}",2D_AREA_OVERLAP_RATIO,13,6,36,0.684,0.265,0.382,49,19,2025-05-22 17:46:23,7,20.0,60,20,30,1,0.0921,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,4,7,34,0.364,0.105,0.163,38,11,2025-05-22 17:46:28,7,20.0,60,20,30,1,0.0053,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,3,10,35,0.231,0.079,0.118,38,13,2025-05-22 17:46:28,7,20.0,60,20,30,1,0.0195,True,0.05
KMEANS,"{'n_clusters': 38, 'random_state': 7, 'n_init': 'auto'}",3D_IOU,1,22,37,0.043,0.026,0.033,38,23,2025-05-22 17:46:28,7,20.0,60,20,30,1,0.0111,True,0.05
GMM,"{'n_components': 38, 'covariance_type': 'full', 'random_state': 7}",3D_IOU,1,13,37,0.071,0.026,0.038,38,14,2025-05-22 17:46:28,7,20.0,60,20,30,1,0.1261,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,11,0,27,1.0,0.289,0.449,38,11,2025-05-22 17:46:28,7,20.0,60,20,30,1,0.0053,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,8,5,30,0.615,0.211,0.314,38,13,2025-05-22 17:46:28,7,20.0,60,20,30,1,0.0173,True,0.05
KMEANS,"{'n_clusters': 38, 'random_state': 7, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,14,9,24,0.609,0.368,0.459,38,23,2025-05-22 17:46:28,7,20.0,60,20,30,1,0.0095,True,0.05
GMM,"{'n_components': 38, 'covariance_type': 'full', 'random_state': 7}",2D_CENTER_IN_GT_AREA,12,2,26,0.857,0.316,0.462,38,14,2025-05-22 17:46:28,7,20.0,60,20,30,1,0.0872,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,8,3,30,0.727,0.211,0.327,38,11,2025-05-22 17:46:28,7,20.0,60,20,30,1,0.005,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,11,2,27,0.846,0.289,0.431,38,13,2025-05-22 17:46:28,7,20.0,60,20,30,1,0.0567,True,0.05
KMEANS,"{'n_clusters': 38, 'random_state': 7, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,9,14,29,0.391,0.237,0.295,38,23,2025-05-22 17:46:28,7,20.0,60,20,30,1,0.0112,True,0.05
GMM,"{'n_components': 38, 'covariance_type': 'full', 'random_state': 7}",2D_AREA_OVERLAP_RATIO,7,7,31,0.5,0.184,0.269,38,14,2025-05-22 17:46:28,7,20.0,60,20,30,1,0.0918,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,3,8,35,0.273,0.079,0.122,38,11,2025-05-22 17:48:29,7,20.0,60,20,30,1,0.0053,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,2,11,36,0.154,0.053,0.078,38,13,2025-05-22 17:48:29,7,20.0,60,20,30,1,0.0183,True,0.05
KMEANS,"{'n_clusters': 38, 'random_state': 7, 'n_init': 'auto'}",3D_IOU,1,23,37,0.042,0.026,0.032,38,24,2025-05-22 17:48:29,7,20.0,60,20,30,1,0.0483,True,0.05
GMM,"{'n_components': 38, 'covariance_type': 'full', 'random_state': 7}",3D_IOU,1,10,37,0.091,0.026,0.041,38,11,2025-05-22 17:48:29,7,20.0,60,20,30,1,0.1247,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,11,0,27,1.0,0.289,0.449,38,11,2025-05-22 17:48:29,7,20.0,60,20,30,1,0.0036,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,9,4,29,0.692,0.237,0.353,38,13,2025-05-22 17:48:29,7,20.0,60,20,30,1,0.0155,True,0.05
KMEANS,"{'n_clusters': 38, 'random_state': 7, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,13,11,25,0.542,0.342,0.419,38,24,2025-05-22 17:48:29,7,20.0,60,20,30,1,0.0097,True,0.05
GMM,"{'n_components': 38, 'covariance_type': 'full', 'random_state': 7}",2D_CENTER_IN_GT_AREA,10,1,28,0.909,0.263,0.408,38,11,2025-05-22 17:48:29,7,20.0,60,20,30,1,0.0812,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,8,3,30,0.727,0.211,0.327,38,11,2025-05-22 17:48:29,7,20.0,60,20,30,1,0.0038,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,10,3,28,0.769,0.263,0.392,38,13,2025-05-22 17:48:29,7,20.0,60,20,30,1,0.014,True,0.05
KMEANS,"{'n_clusters': 38, 'random_state': 7, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,9,15,29,0.375,0.237,0.29,38,24,2025-05-22 17:48:29,7,20.0,60,20,30,1,0.0092,True,0.05
GMM,"{'n_components': 38, 'covariance_type': 'full', 'random_state': 7}",2D_AREA_OVERLAP_RATIO,7,4,31,0.636,0.184,0.286,38,11,2025-05-22 17:48:29,7,20.0,60,20,30,1,0.082,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,5,9,35,0.357,0.125,0.185,40,14,2025-05-22 17:48:32,7,20.0,60,20,30,1,0.0086,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,5,9,35,0.357,0.125,0.185,40,14,2025-05-22 17:48:32,7,20.0,60,20,30,1,0.0286,True,0.05
KMEANS,"{'n_clusters': 40, 'random_state': 7, 'n_init': 'auto'}",3D_IOU,3,24,37,0.111,0.075,0.09,40,27,2025-05-22 17:48:32,7,20.0,60,20,30,1,0.0118,True,0.05
GMM,"{'n_components': 40, 'covariance_type': 'full', 'random_state': 7}",3D_IOU,4,10,36,0.286,0.1,0.148,40,14,2025-05-22 17:48:32,7,20.0,60,20,30,1,0.1784,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,14,0,26,1.0,0.35,0.519,40,14,2025-05-22 17:48:32,7,20.0,60,20,30,1,0.0057,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,12,2,28,0.857,0.3,0.444,40,14,2025-05-22 17:48:32,7,20.0,60,20,30,1,0.0229,True,0.05
KMEANS,"{'n_clusters': 40, 'random_state': 7, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,14,13,26,0.519,0.35,0.418,40,27,2025-05-22 17:48:32,7,20.0,60,20,30,1,0.0094,True,0.05
GMM,"{'n_components': 40, 'covariance_type': 'full', 'random_state': 7}",2D_CENTER_IN_GT_AREA,11,3,29,0.786,0.275,0.407,40,14,2025-05-22 17:48:32,7,20.0,60,20,30,1,0.1254,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,10,4,30,0.714,0.25,0.37,40,14,2025-05-22 17:48:32,7,20.0,60,20,30,1,0.0061,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,12,2,28,0.857,0.3,0.444,40,14,2025-05-22 17:48:32,7,20.0,60,20,30,1,0.0224,True,0.05
KMEANS,"{'n_clusters': 40, 'random_state': 7, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,12,15,28,0.444,0.3,0.358,40,27,2025-05-22 17:48:32,7,20.0,60,20,30,1,0.0122,True,0.05
GMM,"{'n_components': 40, 'covariance_type': 'full', 'random_state': 7}",2D_AREA_OVERLAP_RATIO,9,5,31,0.643,0.225,0.333,40,14,2025-05-22 17:48:32,7,20.0,60,20,30,1,0.1397,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,11,17,51,0.393,0.177,0.244,62,28,2025-05-22 17:58:37,1,20.0,80,20,30,1,0.0088,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,9,22,53,0.29,0.145,0.194,62,31,2025-05-22 17:58:37,1,20.0,80,20,30,1,0.029,True,0.05
KMEANS,"{'n_clusters': 62, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,4,44,58,0.083,0.065,0.073,62,48,2025-05-22 17:58:37,1,20.0,80,20,30,1,0.1353,True,0.05
GMM,"{'n_components': 62, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,4,38,58,0.095,0.065,0.077,62,42,2025-05-22 17:58:37,1,20.0,80,20,30,1,0.1576,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,27,1,35,0.964,0.435,0.6,62,28,2025-05-22 17:58:37,1,20.0,80,20,30,1,0.0069,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,26,5,36,0.839,0.419,0.559,62,31,2025-05-22 17:58:37,1,20.0,80,20,30,1,0.0291,True,0.05
KMEANS,"{'n_clusters': 62, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,33,15,29,0.688,0.532,0.6,62,48,2025-05-22 17:58:37,1,20.0,80,20,30,1,0.0184,True,0.05
GMM,"{'n_components': 62, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,31,11,31,0.738,0.5,0.596,62,42,2025-05-22 17:58:37,1,20.0,80,20,30,1,0.1296,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,27,1,35,0.964,0.435,0.6,62,28,2025-05-22 17:58:37,1,20.0,80,20,30,1,0.0066,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,31,0,31,1.0,0.5,0.667,62,31,2025-05-22 17:58:37,1,20.0,80,20,30,1,0.0294,True,0.05
KMEANS,"{'n_clusters': 62, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,34,14,28,0.708,0.548,0.618,62,48,2025-05-22 17:58:37,1,20.0,80,20,30,1,0.0149,True,0.05
GMM,"{'n_components': 62, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,31,11,31,0.738,0.5,0.596,62,42,2025-05-22 17:58:37,1,20.0,80,20,30,1,0.127,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,3,19,66,0.136,0.043,0.066,69,22,2025-05-22 17:58:44,1,20.0,80,20,30,1,0.0053,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,2,27,67,0.069,0.029,0.041,69,29,2025-05-22 17:58:44,1,20.0,80,20,30,1,0.0208,True,0.05
KMEANS,"{'n_clusters': 69, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,0,44,69,0.0,0.0,0.0,69,44,2025-05-22 17:58:44,1,20.0,80,20,30,1,0.024,True,0.05
GMM,"{'n_components': 69, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,0,35,69,0.0,0.0,0.0,69,35,2025-05-22 17:58:44,1,20.0,80,20,30,1,0.2951,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,22,0,47,1.0,0.319,0.484,69,22,2025-05-22 17:58:44,1,20.0,80,20,30,1,0.0056,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,20,9,49,0.69,0.29,0.408,69,29,2025-05-22 17:58:44,1,20.0,80,20,30,1,0.0198,True,0.05
KMEANS,"{'n_clusters': 69, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,28,16,41,0.636,0.406,0.496,69,44,2025-05-22 17:58:44,1,20.0,80,20,30,1,0.017,True,0.05
GMM,"{'n_components': 69, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,25,10,44,0.714,0.362,0.481,69,35,2025-05-22 17:58:44,1,20.0,80,20,30,1,0.2727,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,21,1,48,0.955,0.304,0.462,69,22,2025-05-22 17:58:44,1,20.0,80,20,30,1,0.0049,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,27,2,42,0.931,0.391,0.551,69,29,2025-05-22 17:58:44,1,20.0,80,20,30,1,0.018,True,0.05
KMEANS,"{'n_clusters': 69, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,23,21,46,0.523,0.333,0.407,69,44,2025-05-22 17:58:44,1,20.0,80,20,30,1,0.0151,True,0.05
GMM,"{'n_components': 69, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,19,16,50,0.543,0.275,0.365,69,35,2025-05-22 17:58:44,1,20.0,80,20,30,1,0.2767,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,11,9,26,0.55,0.297,0.386,37,20,2025-05-22 17:58:49,1,20.0,80,20,30,1,0.0133,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,11,11,26,0.5,0.297,0.373,37,22,2025-05-22 17:58:49,1,20.0,80,20,30,1,0.0449,True,0.05
KMEANS,"{'n_clusters': 37, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,5,25,32,0.167,0.135,0.149,37,30,2025-05-22 17:58:49,1,20.0,80,20,30,1,0.0215,True,0.05
GMM,"{'n_components': 37, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,7,17,30,0.292,0.189,0.23,37,24,2025-05-22 17:58:49,1,20.0,80,20,30,1,0.3282,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,19,1,18,0.95,0.514,0.667,37,20,2025-05-22 17:58:49,1,20.0,80,20,30,1,0.0099,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,19,3,18,0.864,0.514,0.644,37,22,2025-05-22 17:58:49,1,20.0,80,20,30,1,0.0368,True,0.05
KMEANS,"{'n_clusters': 37, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,19,11,18,0.633,0.514,0.567,37,30,2025-05-22 17:58:49,1,20.0,80,20,30,1,0.0146,True,0.05
GMM,"{'n_components': 37, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,18,6,19,0.75,0.486,0.59,37,24,2025-05-22 17:58:49,1,20.0,80,20,30,1,0.3007,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,17,3,20,0.85,0.459,0.596,37,20,2025-05-22 17:58:49,1,20.0,80,20,30,1,0.0099,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,17,5,20,0.773,0.459,0.576,37,22,2025-05-22 17:58:49,1,20.0,80,20,30,1,0.0335,True,0.05
KMEANS,"{'n_clusters': 37, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,19,11,18,0.633,0.514,0.567,37,30,2025-05-22 17:58:49,1,20.0,80,20,30,1,0.012,True,0.05
GMM,"{'n_components': 37, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,18,6,19,0.75,0.486,0.59,37,24,2025-05-22 17:58:49,1,20.0,80,20,30,1,0.3004,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,12,9,33,0.571,0.267,0.364,45,21,2025-05-22 17:58:54,1,20.0,80,20,30,1,0.0224,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,9,13,36,0.409,0.2,0.269,45,22,2025-05-22 17:58:54,1,20.0,80,20,30,1,0.0529,True,0.05
KMEANS,"{'n_clusters': 45, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,6,26,39,0.188,0.133,0.156,45,32,2025-05-22 17:58:54,1,20.0,80,20,30,1,0.0378,True,0.05
GMM,"{'n_components': 45, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,8,15,37,0.348,0.178,0.235,45,23,2025-05-22 17:58:54,1,20.0,80,20,30,1,0.3069,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,21,0,24,1.0,0.467,0.636,45,21,2025-05-22 17:58:54,1,20.0,80,20,30,1,0.0173,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,16,6,29,0.727,0.356,0.478,45,22,2025-05-22 17:58:54,1,20.0,80,20,30,1,0.0434,True,0.05
KMEANS,"{'n_clusters': 45, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,21,11,24,0.656,0.467,0.545,45,32,2025-05-22 17:58:54,1,20.0,80,20,30,1,0.0133,True,0.05
GMM,"{'n_components': 45, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,19,4,26,0.826,0.422,0.559,45,23,2025-05-22 17:58:54,1,20.0,80,20,30,1,0.305,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,19,2,26,0.905,0.422,0.576,45,21,2025-05-22 17:58:54,1,20.0,80,20,30,1,0.0177,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,20,2,25,0.909,0.444,0.597,45,22,2025-05-22 17:58:54,1,20.0,80,20,30,1,0.0479,True,0.05
KMEANS,"{'n_clusters': 45, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,21,11,24,0.656,0.467,0.545,45,32,2025-05-22 17:58:54,1,20.0,80,20,30,1,0.0144,True,0.05
GMM,"{'n_components': 45, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,18,5,27,0.783,0.4,0.529,45,23,2025-05-22 17:58:54,1,20.0,80,20,30,1,0.2983,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,2,5,27,0.286,0.069,0.111,29,7,2025-05-22 17:58:59,1,20.0,80,20,30,1,0.0054,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,4,5,25,0.444,0.138,0.211,29,9,2025-05-22 17:58:59,1,20.0,80,20,30,1,0.0217,True,0.05
KMEANS,"{'n_clusters': 29, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,3,10,26,0.231,0.103,0.143,29,13,2025-05-22 17:58:59,1,20.0,80,20,30,1,0.0087,True,0.05
GMM,"{'n_components': 29, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,2,9,27,0.182,0.069,0.1,29,11,2025-05-22 17:58:59,1,20.0,80,20,30,1,0.138,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,7,0,22,1.0,0.241,0.389,29,7,2025-05-22 17:58:59,1,20.0,80,20,30,1,0.0055,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,7,2,22,0.778,0.241,0.368,29,9,2025-05-22 17:58:59,1,20.0,80,20,30,1,0.02,True,0.05
KMEANS,"{'n_clusters': 29, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,8,5,21,0.615,0.276,0.381,29,13,2025-05-22 17:58:59,1,20.0,80,20,30,1,0.0085,True,0.05
GMM,"{'n_components': 29, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,8,3,21,0.727,0.276,0.4,29,11,2025-05-22 17:58:59,1,20.0,80,20,30,1,0.067,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,6,1,23,0.857,0.207,0.333,29,7,2025-05-22 17:58:59,1,20.0,80,20,30,1,0.0048,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,8,1,21,0.889,0.276,0.421,29,9,2025-05-22 17:58:59,1,20.0,80,20,30,1,0.0188,True,0.05
KMEANS,"{'n_clusters': 29, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,9,4,20,0.692,0.31,0.429,29,13,2025-05-22 17:58:59,1,20.0,80,20,30,1,0.0074,True,0.05
GMM,"{'n_components': 29, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,9,2,20,0.818,0.31,0.45,29,11,2025-05-22 17:58:59,1,20.0,80,20,30,1,0.063,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,4,16,54,0.2,0.069,0.103,58,20,2025-05-22 17:59:05,5,20.0,80,20,30,1,0.0052,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,5,13,53,0.278,0.086,0.132,58,18,2025-05-22 17:59:05,5,20.0,80,20,30,1,0.0184,True,0.05
KMEANS,"{'n_clusters': 58, 'random_state': 5, 'n_init': 'auto'}",3D_IOU,0,35,58,0.0,0.0,0.0,58,35,2025-05-22 17:59:05,5,20.0,80,20,30,1,0.0173,True,0.05
GMM,"{'n_components': 58, 'covariance_type': 'full', 'random_state': 5}",3D_IOU,0,32,58,0.0,0.0,0.0,58,32,2025-05-22 17:59:05,5,20.0,80,20,30,1,0.1625,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,18,2,40,0.9,0.31,0.462,58,20,2025-05-22 17:59:05,5,20.0,80,20,30,1,0.0034,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,15,3,43,0.833,0.259,0.395,58,18,2025-05-22 17:59:05,5,20.0,80,20,30,1,0.0158,True,0.05
KMEANS,"{'n_clusters': 58, 'random_state': 5, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,23,12,35,0.657,0.397,0.495,58,35,2025-05-22 17:59:05,5,20.0,80,20,30,1,0.0176,True,0.05
GMM,"{'n_components': 58, 'covariance_type': 'full', 'random_state': 5}",2D_CENTER_IN_GT_AREA,21,11,37,0.656,0.362,0.467,58,32,2025-05-22 17:59:05,5,20.0,80,20,30,1,0.1199,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,14,6,44,0.7,0.241,0.359,58,20,2025-05-22 17:59:05,5,20.0,80,20,30,1,0.0037,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,18,0,40,1.0,0.31,0.474,58,18,2025-05-22 17:59:05,5,20.0,80,20,30,1,0.0133,True,0.05
KMEANS,"{'n_clusters': 58, 'random_state': 5, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,21,14,37,0.6,0.362,0.452,58,35,2025-05-22 17:59:05,5,20.0,80,20,30,1,0.0168,True,0.05
GMM,"{'n_components': 58, 'covariance_type': 'full', 'random_state': 5}",2D_AREA_OVERLAP_RATIO,20,12,38,0.625,0.345,0.444,58,32,2025-05-22 17:59:05,5,20.0,80,20,30,1,0.1224,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,7,16,49,0.304,0.125,0.177,56,23,2025-05-22 17:59:10,5,20.0,80,20,30,1,0.0096,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,6,21,50,0.222,0.107,0.145,56,27,2025-05-22 17:59:10,5,20.0,80,20,30,1,0.0255,True,0.05
KMEANS,"{'n_clusters': 56, 'random_state': 5, 'n_init': 'auto'}",3D_IOU,4,34,52,0.105,0.071,0.085,56,38,2025-05-22 17:59:10,5,20.0,80,20,30,1,0.0241,True,0.05
